Address,arithmetic,clean,reentrancy,time_manipulation,TOD,"('PUSH1',)","('MSTORE',)","('CALLDATASIZE',)","('COMPARASION',)","('PUSH2',)","('JUMPI',)","('CALLDATALOAD',)","('PUSH',)","('SWAP',)","('ARITHMETIC_OP',)","('PUSH4',)","('LOGIC_OP',)","('DUP',)","('EQ',)","('JUMPDEST',)","('REVERT',)","('CALLVALUE',)","('ISZERO',)","('POP',)","('JUMP',)","('MLOAD',)","('RETURN',)","('STOP',)","('SLOAD',)","('SHA3',)","('CONSTANT2',)","('SSTORE',)","('LOG',)","('CONSTANT1',)","('CALL',)","('RETURNDATASIZE',)","('RETURNDATACOPY',)","('INVALID',)","('SELFBALANCE',)","('LOG0',)","('SHR',)","('SAR',)","('DELEGATECALL',)","('CODESIZE',)","('GASPRICE',)","('CALLCODE',)","('BALANCE',)","('CALLDATACOPY',)","('SHL',)","('EXTCODESIZE',)","('GAS',)","('CODECOPY',)","('STATICCALL',)","('SELFDESTRUCT',)","('CREATE2',)","('BYTE',)","('PUSH3',)","('MSTORE8',)","('EXTCODECOPY',)","('CHAINID',)","('MSIZE',)","('GETPC',)","('SIGNEXTEND',)","('CREATE',)","('EXTCODEHASH',)"
arithmetic_1,1,,,,,470,109,22,17,170,89,33,93,419,279,34,112,600,34,157,44,33,102,309,70,54,17,18,40,39,21,16,4,3,2,4,2,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,
arithmetic_10,1,,,,,1589,310,59,121,727,359,83,318,1321,793,162,381,1939,121,626,214,96,308,931,284,192,60,51,168,106,86,64,13,17,14,29,14,28,1,1,4,1,1,1,1,1,1,1,6,2,3,1,,,,,,,,,,,,,
arithmetic_11,1,,,,,973,192,35,49,516,281,41,353,742,557,75,307,1338,128,431,206,75,358,609,150,140,15,62,93,42,129,21,3,9,31,62,32,14,,,,,,,,,21,1,,,,,1,1,,,,,,,,,,,
arithmetic_12,1,,,,,687,141,26,56,275,153,39,155,573,394,40,187,855,49,245,82,40,177,387,95,70,18,22,62,50,36,25,8,3,4,6,3,17,,,,,1,,,,,2,,,,,,,1,,,,,,,,,,
arithmetic_13,1,,,,,1116,240,50,99,497,268,67,269,886,616,101,254,1458,94,426,169,59,252,692,176,144,31,50,90,55,64,33,9,10,14,31,15,17,,,2,,1,,,,1,2,3,3,3,2,1,,,1,,,,,,,,,
arithmetic_14,1,,,,,2352,555,37,192,693,366,60,444,1389,1269,119,545,2077,100,546,165,57,304,754,196,221,29,27,178,227,56,63,6,7,12,35,15,96,,,1,,,,,1,1,6,5,5,6,,4,,,,2,1,1,,,,,,
arithmetic_15,1,,,,,1479,270,50,131,587,321,87,274,1269,933,87,368,2018,88,509,205,74,439,936,190,183,30,48,141,71,60,68,15,13,11,41,16,36,,1,,,,1,,1,1,6,,7,8,,5,,,,1,,,1,1,1,,,
arithmetic_16,1,,,,,1672,363,84,152,683,299,122,386,1506,852,166,421,1982,130,601,147,3,378,967,330,165,55,63,125,145,101,58,13,14,13,27,13,31,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,
arithmetic_17,1,,,,,2882,794,51,224,1136,468,65,362,1652,1969,162,395,3371,137,878,200,89,600,1386,410,507,37,65,351,94,73,139,2,21,14,28,14,82,,,,1,,4,,,1,,,,,5,,,,,11,,,,,,,,
arithmetic_18,1,,,,,1026,222,29,55,391,187,57,214,760,625,189,456,1132,87,278,103,39,141,458,98,67,12,31,99,76,32,40,6,5,7,14,7,10,,,1,,,,,,2,,,,,6,,,,,,,,,,,,,
arithmetic_19,1,,,,,674,150,28,52,293,153,39,136,545,360,56,143,857,49,258,93,44,172,410,114,76,20,24,44,49,36,16,4,9,5,10,5,10,,,,,,,2,,,1,,,,4,,,,,,,,,,,,,
arithmetic_20,1,,,,,1584,321,67,113,669,339,90,382,1328,798,125,437,1909,116,582,220,95,433,896,245,159,42,55,135,124,87,55,21,13,11,23,12,52,,,,1,,,1,,,3,,,,,,,,1,,2,,1,,,,,
arithmetic_21,1,,,,,1013,220,39,76,406,213,56,222,818,507,77,254,1238,68,367,136,60,261,577,156,99,26,35,73,85,56,32,10,8,7,14,7,19,1,,,,,,,,,2,,,,,,,,,1,,,,,,,,
